"rules","support","confidence","coverage","lift","count"
"{Verso} => {Ole Henriksen}",1.4415037767399e-05,1,1.4415037767399e-05,31.3262587491533,2
"{Hemojern,MAC Cosmetics} => {Brushworks}",1.4415037767399e-05,1,1.4415037767399e-05,213.124423963134,2
"{Beck Söndergaard,VitaYummy} => {By Stær}",1.4415037767399e-05,1,1.4415037767399e-05,121.492119089317,2
"{Âme Pure,Clarins} => {Clinique}",1.4415037767399e-05,1,1.4415037767399e-05,20.3825473776994,2
"{Comme Deux ,Scandinavian Biolabs} => {Redken}",1.4415037767399e-05,1,1.4415037767399e-05,15.4074403109384,2
"{Comme Deux ,Redken} => {Scandinavian Biolabs}",1.4415037767399e-05,1,1.4415037767399e-05,2312.4,2
"{Irina The Diva,LastObject} => {Refectocil}",1.4415037767399e-05,1,1.4415037767399e-05,30.6684350132626,2
"{LastObject,Refectocil} => {Irina The Diva}",1.4415037767399e-05,1,1.4415037767399e-05,136.023529411765,2
"{LastObject,VitaYummy} => {Meraki}",1.4415037767399e-05,1,1.4415037767399e-05,23.2518853695324,2
"{By Stær,ProNails} => {Essie}",1.4415037767399e-05,1,1.4415037767399e-05,250.893309222423,2
"{Avène,TIGI} => {Biotherm}",1.4415037767399e-05,1,1.4415037767399e-05,16.9055684172048,2
"{The Ordinary,Uriage} => {CeraVe}",1.4415037767399e-05,1,1.4415037767399e-05,51.4629080118694,2
"{Clean Up,Kérastase} => {Redken}",1.4415037767399e-05,1,1.4415037767399e-05,15.4074403109384,2
"{Easy Sun,MAC Cosmetics} => {Lancôme}",1.4415037767399e-05,1,1.4415037767399e-05,39.0938292476754,2
"{Easy Sun,Rønsbøl} => {Meraki}",1.4415037767399e-05,1,1.4415037767399e-05,23.2518853695324,2
"{Miqura,Oskia} => {Clarins}",1.4415037767399e-05,1,1.4415037767399e-05,28.4136801146836,2
"{Nivea,Oskia} => {Meraki}",1.4415037767399e-05,1,1.4415037767399e-05,23.2518853695324,2
"{Color Hair-Spray,Miss NELLA} => {NICMA Styling}",1.4415037767399e-05,1,1.4415037767399e-05,101.051711580481,2
