"rules","support","confidence","coverage","lift","count"
"{GOSH Lumi Lips Lipgloss 6 ml - 001 BFF} => {Ole Henriksen Strength Peptide Boost Moisturizer 50 ml}",1.4415037767399e-05,1,1.4415037767399e-05,190.844566712517,2
"{Miss NELLA Bath Bomb 3 Pieces - Superfizz} => {Miss NELLA Bath Bomb 3 Pieces - Fizzylicious}",1.4415037767399e-05,1,1.4415037767399e-05,27748.8,2
"{L:A Bruket 158 Body Lotion 240 ml - Lemongrass} => {L:A Bruket 069 Hand & Body Wash Refill 1000 ml - Lemongrass}",1.4415037767399e-05,1,1.4415037767399e-05,1849.92,2
"{Davines Alchemic Shampoo Chocolate 280 ml} => {Davines Alchemic Conditioner Chocolate 250 ml }",1.4415037767399e-05,1,1.4415037767399e-05,13874.4,2
"{REN Skincare Everhydrate Marine Moisture-Replenish Cream 50 ml} => {REN Skincare Radiance Brightening Dark Circle Eye Cream 15 ml}",1.4415037767399e-05,1,1.4415037767399e-05,4784.27586206897,2
"{Lancôme Rénergie H.P.N. 300-Peptide Rich Cream 50 ml} => {Lancôme Rénergie Eye Cream 15 ml}",1.4415037767399e-05,1,1.4415037767399e-05,4475.61290322581,2
"{Hismile PAP+ LED Teeth Whitening Kit} => {Hismile V34 Colour Corrector Serum 30 ml}",1.4415037767399e-05,1,1.4415037767399e-05,118.382252559727,2
"{Fudge Everyday Clean Blonde Damage Rewind Conditioner 250 ml } => {Fudge Clean Blonde Violet Toning Shampoo 250 ml}",1.4415037767399e-05,1,1.4415037767399e-05,1347.02912621359,2
"{NICMA Styling Glitter Extensions - Purple} => {NICMA Styling Glitter Extensions - Rainbow}",1.4415037767399e-05,1,1.4415037767399e-05,9249.6,2
"{Biosilk Silk Therapy Original Silk Drops 167 ml} => {Biosilk Silk Therapy Original Silk Drops 15 ml}",1.4415037767399e-05,1,1.4415037767399e-05,263.271347248577,2
"{Mugler Alien Goddess EDP 60 ml} => {ESEA Deo Roll-On 50 ml}",1.4415037767399e-05,1,1.4415037767399e-05,109.075471698113,2
"{Kerasilk Repairing Shampoo 250 ml} => {Kerasilk Repairing Conditioner 200 ml}",1.4415037767399e-05,1,1.4415037767399e-05,46248,2
"{Kerasilk Volumizing Foam Conditioner 150 ml} => {Kerasilk  Volumizing Shampoo 250 ml}",1.4415037767399e-05,1,1.4415037767399e-05,23124,2
"{Jane Iredale Purepressed Base SPF 20 Refill 9,9 gr. - Golden Tan} => {Jane Iredale Refillable Compact}",1.4415037767399e-05,1,1.4415037767399e-05,2569.33333333333,2
"{Wella Elements Instant Detangling Conditioner 200 ml} => {Wella Elements Mild Shampoo 250 ml}",1.4415037767399e-05,1,1.4415037767399e-05,69372,2
"{Wella Elements Mild Shampoo 250 ml} => {Wella Elements Instant Detangling Conditioner 200 ml}",1.4415037767399e-05,1,1.4415037767399e-05,69372,2
"{Lacoste Pour Femme Légére EDP 30 ml } => {Nivea DERMA Skin Clear Anti-Blemish Scrub 150 ml}",1.4415037767399e-05,1,1.4415037767399e-05,9249.6,2
"{Maybelline Fit Me Matte + Poreless Foundation Normal To Oily 30 ml - 320 Natural Tan} => {L'Oréal Paris Cosmetics Mega Volume Collagene 24h Mascara 9 ml - Extra Black}",1.4415037767399e-05,1,1.4415037767399e-05,5781,2
"{Evolve Superfood Shine Conditioner 250 ml} => {Evolve Superfood Shine Shampoo 250 ml}",1.4415037767399e-05,1,1.4415037767399e-05,46248,2
"{Clinique Even Better Refresh Hydrating And Repairing Makeup 30 ml - WN 114 Golden} => {Clinique Stay-Matte Sheer Pressed Powder 7,6 gr. -  04 Stay Honey}",1.4415037767399e-05,1,1.4415037767399e-05,9910.28571428571,2
"{Wet Brush Pro Shine Enhancer - Black} => {Wet Brush Original Detangler - Black}",1.4415037767399e-05,1,1.4415037767399e-05,214.442040185471,2
"{Goldwell Dualsenses Color Revive Color Giving Shampoo 250 ml - Cool Red} => {Goldwell Dualsenses Color Revive Color Giving Conditioner 200 ml - Cool Red }",1.4415037767399e-05,1,1.4415037767399e-05,69372,2
"{Goldwell Dualsenses Color Revive Color Giving Conditioner 200 ml - Cool Red } => {Goldwell Dualsenses Color Revive Color Giving Shampoo 250 ml - Cool Red}",1.4415037767399e-05,1,1.4415037767399e-05,69372,2
"{Philip Kingsley Moisture Balancing Conditioner 200 ml} => {Philip Kingsley Elasticizer 150 ml}",1.4415037767399e-05,1,1.4415037767399e-05,27748.8,2
"{Flawless Hair Remover Legs} => {Flawless Nu Razor Hair Remover - Rechargeable}",1.4415037767399e-05,1,1.4415037767399e-05,23124,2
